,Pclass,Age,SibSp,Parch,Gender,Embarkation_port,Survived
504,3,45.0,0,0,0,0,1
505,1,29.700559701492537,0,0,0,0,0
506,2,26.0,1,1,1,0,0
507,3,18.0,1,1,0,0,0
508,2,29.0,0,0,0,0,0
509,1,65.0,0,1,0,2,0
510,1,28.0,0,0,0,0,1
511,2,25.0,0,0,0,0,0
512,3,18.0,0,1,1,2,0
513,3,4.0,0,2,1,0,1
514,2,7.0,0,2,1,0,1
515,3,41.0,2,0,0,0,0
516,1,29.700559701492537,0,0,0,0,0
517,3,30.0,0,0,0,0,0
518,2,28.0,0,0,0,0,0
519,3,20.0,0,0,0,0,0
520,3,30.0,0,0,0,0,1
521,3,65.0,0,0,0,1,0
522,3,24.0,0,0,0,0,0
523,2,30.0,0,0,0,0,0
524,3,19.0,0,0,0,0,0
525,1,52.0,1,1,1,0,1
526,3,36.0,0,0,0,0,0
527,3,29.700559701492537,0,0,1,2,1
528,3,4.0,0,1,1,2,1
529,2,14.0,1,0,1,2,1
530,3,9.0,1,1,0,0,1
531,2,70.0,0,0,0,0,0
532,1,29.700559701492537,1,0,1,0,1
533,2,60.0,1,1,0,0,0
534,3,19.0,1,0,1,0,1
535,3,29.700559701492537,2,0,1,1,1
536,1,25.0,1,0,0,2,1
537,2,29.700559701492537,0,0,1,0,1
538,1,38.0,1,0,0,0,1
539,3,29.700559701492537,0,0,0,0,0
540,3,29.700559701492537,1,0,1,2,0
541,3,29.700559701492537,0,0,0,1,0
542,2,27.0,1,0,1,0,0
543,1,29.700559701492537,0,0,0,2,0
544,1,50.0,1,0,0,2,0
545,3,1.0,5,2,0,0,0
546,3,16.0,0,0,0,0,0
547,2,17.0,0,0,1,2,1
548,3,24.0,0,0,1,0,0
549,3,29.700559701492537,0,0,0,0,0
550,3,39.0,0,0,0,0,0
551,3,29.700559701492537,1,1,0,2,1
552,3,29.700559701492537,1,0,0,1,0
553,3,3.0,3,1,1,0,0
554,3,18.0,1,0,1,0,0
555,3,35.0,0,0,0,0,0
556,1,39.0,1,1,1,2,1
557,1,45.0,1,0,0,0,0
558,1,53.0,2,0,1,0,1
559,3,26.0,0,0,0,0,1
560,3,26.0,1,2,0,0,0
561,2,27.0,1,0,1,2,1
562,3,29.0,0,0,0,0,0
563,3,22.0,0,0,1,0,1
564,1,64.0,1,4,0,0,0
565,1,29.700559701492537,0,0,0,0,0
566,3,27.0,0,1,1,0,1
567,1,23.0,3,2,1,0,1
568,3,29.700559701492537,0,0,0,0,0
569,1,19.0,3,2,0,0,0
570,1,54.0,0,0,0,0,0
571,3,17.0,0,0,1,2,0
572,1,31.0,1,0,1,2,1
573,1,31.0,0,0,0,0,0
574,2,29.700559701492537,0,0,0,0,0
575,3,33.0,0,0,0,0,0
576,1,80.0,0,0,0,0,1
577,3,29.700559701492537,0,0,1,1,1
578,1,38.0,0,0,1,2,1
579,2,45.0,1,1,1,0,1
580,3,24.0,0,0,0,0,0
581,3,30.5,0,0,0,0,0
582,2,24.0,0,0,1,0,0
583,2,27.0,0,0,0,0,0
584,3,32.0,0,0,0,0,0
585,3,2.0,0,1,1,0,0
586,2,30.0,0,0,1,0,1
587,2,4.0,2,1,1,0,1
588,3,38.0,0,0,0,0,0
589,2,3.0,1,1,0,0,1
590,1,42.0,0,0,1,2,1
591,1,33.0,1,0,1,0,1
592,2,34.0,1,1,1,0,1
593,1,16.0,0,0,1,0,1
594,2,19.0,0,0,0,0,1
595,1,29.700559701492537,0,0,0,2,0
596,3,34.0,0,0,0,0,0
597,2,34.0,0,0,1,0,1
598,1,40.0,0,0,0,2,0
599,3,16.0,2,0,0,0,0
600,2,44.0,1,0,0,0,0
601,3,44.0,0,1,0,0,0
602,3,24.0,0,0,0,0,1
603,1,38.0,0,0,1,2,1
604,3,29.700559701492537,0,0,0,0,0
605,3,27.0,0,0,0,0,1
606,1,30.0,0,0,1,2,1
607,3,20.5,0,0,0,0,0
608,3,31.0,0,0,1,0,0
609,3,48.0,1,3,1,0,0
610,3,16.0,1,3,0,0,0
611,2,31.0,0,0,0,0,1
612,3,24.0,0,0,0,0,0
613,3,26.0,0,0,0,0,0
614,1,52.0,1,0,1,2,1
615,3,33.0,0,0,0,2,0
616,1,0.92,1,2,0,0,1
617,2,18.0,0,0,0,0,0
618,3,21.0,1,0,1,0,0
619,2,27.0,0,0,0,0,0
620,2,18.0,0,2,1,0,1
621,3,35.0,0,0,0,2,0
622,1,39.0,1,1,1,2,1
623,1,49.0,1,0,1,2,1
624,1,51.0,0,1,0,2,0
625,1,24.0,0,0,1,2,1
626,2,25.0,1,1,1,0,1
627,1,29.700559701492537,0,0,1,2,1
628,3,22.0,0,0,0,0,0
629,3,18.0,0,0,0,0,1
630,3,29.700559701492537,0,0,0,0,0
631,1,58.0,0,2,0,2,0
632,3,29.700559701492537,0,0,0,2,0
633,3,16.0,4,1,0,0,0
634,3,29.0,0,0,0,0,1
635,1,31.0,0,2,1,0,1
636,1,29.700559701492537,0,0,0,0,1
637,1,15.0,0,1,1,0,1
638,3,24.0,2,0,0,0,0
639,2,22.0,1,2,1,2,1
640,3,29.700559701492537,3,1,1,0,0
641,3,32.0,0,0,0,0,1
642,1,42.0,0,0,0,0,1
643,3,17.0,0,0,0,0,0
644,1,29.700559701492537,0,0,0,0,0
645,2,0.83,1,1,0,0,1
646,3,9.0,2,2,1,0,0
647,1,58.0,0,0,0,2,0
648,2,28.0,0,1,0,0,0
649,3,26.0,0,0,0,0,0
650,3,47.0,0,0,0,0,0
651,3,29.700559701492537,1,0,0,0,0
652,2,33.0,1,2,1,0,1
653,3,47.0,1,0,1,0,0
654,3,29.700559701492537,0,0,0,0,0
655,1,42.0,1,0,0,0,1
656,3,36.0,0,0,0,0,0
657,3,38.0,0,0,0,0,0
658,3,38.0,1,5,1,0,1
659,3,29.700559701492537,0,0,0,1,0
660,2,1.0,2,1,0,0,1
661,1,29.700559701492537,1,0,1,2,1
662,1,47.0,0,0,0,0,0
663,2,17.0,0,0,1,0,1
664,3,29.700559701492537,0,0,0,1,0
665,3,32.0,0,0,0,0,1
666,3,22.0,0,0,1,0,0
667,3,29.700559701492537,1,0,1,1,1
